id,titre,titre_original,annee,date_sortie,note,nombre_votes,popularite,langue_originale,synopsis,adulte
525661,Scandale,Bombshell,2019,2019-12-13,6.78,3141,5.2367,en,"Inspiré de faits réels, SCANDALE nous plonge dans les coulisses d’une chaîne de télévision aussi puissante que controversée. Des premières étincelles à l’explosion médiatique, découvrez comment des femmes journalistes ont réussi à briser la loi du silence pour dénoncer l’inacceptable.",False
837881,She Said,She Said,2022,2022-11-17,7.192,690,5.1743,en,"Deux journalistes du New York Times, Megan Twohey et Jodi Kantor, ont de concert mis en lumière un des scandales les plus importants de leur génération. À l’origine du mouvement #Metoo leur investigation a brisé des décennies de silence autour du problème des agressions sexuelles dans le milieu du cinéma hollywoodien, changeant à jamais la société américaine et le monde de la culture.",False
400617,Phantom Thread,Phantom Thread,2017,2017-12-25,7.313,3713,5.1214,en,"Dans le Londres glamour des années 50, le célèbre couturier Reynold Woodcock et sa sœur Cyril sont au cœur de la mode britannique, habillant la famille royale, les stars de cinéma, les héritières, les mondains et les dames dans le style reconnaissable de la Maison Woodcock. Les femmes défilent dans la vie de Woodcock, apportant à ce célibataire endurci inspiration et compagnie, jusqu’au jour où il rencontre Alma, une jeune femme au caractère fort qui deviendra rapidement sa muse et son amante. Lui qui contrôlait et planifiait sa vie au millimètre près, le voici bouleversé par l’amour.",False
407448,Detroit,Detroit,2017,2017-07-28,7.255,1720,4.9135,en,"Été 1967. Les États-Unis connaissent une vague d’émeutes sans précédent. La guerre du Vietnam, vécue comme une intervention néocoloniale, et la ségrégation raciale nourrissent la contestation. À Detroit, alors que le climat est insurrectionnel depuis deux jours, des coups de feu sont entendus en pleine nuit à proximité d’une base de la Garde nationale. Les forces de l’ordre encerclent l’Algiers Motel d’où semblent provenir les détonations. Bafouant toute procédure, les policiers soumettent une poignée de clients de l’hôtel à un interrogatoire sadique pour extorquer leurs aveux. Le bilan sera très lourd: trois hommes, non armés, seront abattus à bout portant, et plusieurs autres blessés…",False
505600,Booksmart,Booksmart,2019,2019-05-24,7.012,2796,4.7494,en,"Molly et Amy, brillantes lycéennes prêtes à empocher leurs diplômes, rattrapent le temps perdu sur les fiches de révision pour vivre une glorieuse nuit de rébellion.",False
68722,The Master,The Master,2012,2012-09-14,7.1,3223,4.5851,en,"Freddie, un vétéran, revient en Californie après s’être battu dans le Pacifique. Alcoolique, il distille sa propre gnôle et contient difficilement la violence qu’il a en lui… Quand Freddie rencontre Lancaster Dodd — « le Maître », charismatique meneur d’un mouvement nommé la Cause, il tombe rapidement sous sa coupe…",False
961323,Nimona,Nimona,2023,2023-06-23,7.863,1318,4.5214,en,"Pour se disculper, un chevalier accusé d'un crime tragique fait équipe avec une adolescente bagarreuse et métamorphe qui pourrait bien être le monstre qu'il a juré de détruire.",False
440161,Les Frères Sisters,The Sisters Brothers,2018,2018-09-19,6.8,2044,4.3792,en,"Charlie et Elie Sisters évoluent dans un monde sauvage et hostile, ils ont du sang sur les mains: celui de criminels, celui d'innocents... Ils n'éprouvent aucun état d'âme à tuer. C'est leur métier. Charlie, le cadet, est né pour ça. Elie, lui, ne rêve que d'une vie normale. Ils sont engagés par le Commodore pour rechercher et tuer un homme. De l'Oregon à la Californie, une traque implacable commence, un parcours initiatique qui va éprouver ce lien fou qui les unit. Un chemin vers leur humanité?",False
316154,The Bad Batch,The Bad Batch,2017,2017-06-23,5.266,1146,3.9752,en,"Arlen est une paria évincée de sa communauté et condamnée à errer dans le désert. Elle y est capturée par une bande de cannibales qui la dévorent, petit morceau par petit morceau, en la maintenant bien vivante pour avoir toujours de la viande fraîche. Son salut est incarné par Miami Man, un cannibale dont la fille Miel se lie avec Arlen.",False
465914,Si Beale Street pouvait parler,If Beale Street Could Talk,2018,2018-12-14,6.9,1197,3.9341,en,"Harlem, dans les années 70. Tish et Fonny s'aiment depuis toujours et envisagent de se marier. Alors qu'ils s'apprêtent à avoir un enfant, le jeune homme, victime d'une erreur judiciaire, est arrêté et incarcéré. Avec l'aide de sa famille, Tish s'engage dans un combat acharné pour prouver l'innocence de Fonny et le faire libérer…",False
274479,Joy,Joy,2015,2015-12-24,6.55,4242,3.757,en,"Années 90, Joy Mangano, la trentaine, est une divorcée épuisée qui tente de naviguer dans les eaux troubles d'une vie familiale composée de personanges quelque peu névrotiques. Joy est courageuse, pugnace, combative et pas toujours bien entourrée, conseillée. Lors d'une nagivation en voilier, d'un verre tombé et cassé, Joy se blesse en nettoyant et en découle l'idée d'un balai-serpillière auto-essorant à forte absortion. Commence un autre combat, entre la création, le financement, la fabrication et enfin la distribution et assurer ses intérêts, Joy ne manque pas d'embuches, d'incompétents, de rebondissements et d'escrocs.
 Le film est librement inspiré de la vie de Joy Mangano.",False
87492,Foxcatcher,Foxcatcher,2014,2014-11-14,6.653,2430,3.5499,en,"Inspiré d’une histoire vraie, Foxcatcher raconte l’histoire tragique et fascinante de la relation improbable entre un milliardaire excentrique et deux champions de lutte.  Lorsque le médaillé d’or olympique Mark Schultz est invité par le riche héritier John du Pont à emménager dans sa magnifique propriété familiale pour aider à mettre en place un camp d’entraînement haut de gamme, dans l’optique des JO de Séoul de 1988, Schultz saute sur l’occasion : il espère pouvoir concentrer toute son attention sur son entraînement et ne plus souffrir d’être constamment éclipsé par son frère, Dave. Obnubilé par d’obscurs besoins, du Pont entend bien profiter de son soutien à Schultz et de son opportunité de « coacher » des lutteurs de réputation mondiale pour obtenir – enfin – le respect de ses pairs et, surtout, de sa mère qui le juge très durement.",False
44865,The Grandmaster,一代宗師,2013,2013-01-10,6.621,955,3.4055,zh,"Chine, 1936. Ip Man, maître légendaire de Wing Chun (un des divers styles de Kung‐Fu) et futur mentor de Bruce Lee, mène une vie prospère à Foshan où il partage son temps entre sa famille et les arts‐martiaux. C’est à ce moment que le Grand maître Baosen, à la tête de l’Ordre des Arts Martiaux Chinois, cherche son successeur. Pour sa cérémonie d’adieux, il se rend à Foshan, avec sa fille Gong Er, elle‐même maître du style Ba Gua et la seule à connaître la figure mortelle des 64 mains. Lors de cette cérémonie, Ip Man affronte les grand maîtres du Sud et fait alors la connaissance de Gong Er en qui il trouve son égal. Très vite l’admiration laisse place au désir et dévoile une histoire d’amour impossible. Peu de temps après, le Grand maître Baosen est assassiné par l’un de ses disciples, puis, entre 1937 et 1945, l’occupation japonaise plonge le pays dans le chaos.",False
64689,Cogan : Killing Them Softly,Killing Them Softly,2012,2012-07-30,6.022,2344,3.3842,en,"Lorsqu’une partie de poker illégale est braquée, c’est tout le monde des bas-fonds de la pègre qui est menacé. Les caïds de la Mafia font appel à Jackie Cogan pour trouver les coupables. Mais entre des commanditaires indécis, des escrocs à la petite semaine, des assassins fatigués et ceux qui ont fomenté le coup, Cogan va avoir du mal à garder le contrôle d’une situation qui dégénère…",False
458253,Monsieur Link,Missing Link,2019,2019-04-04,6.9,910,3.0643,en,"Monsieur Link est une créature surprenante, étonnamment intelligente et surtout incroyablement attachante. Dernier vestige de l’évolution humaine et unique représentant de son espèce, Monsieur Link se sent seul... Pour l’aider à retrouver ses parents éloignés, il approche l’explorateur Sir Lionel Frost, le plus grand spécialiste des mystères et des mythes. Accompagnés par l’aventurière Adelina Fortnight qui possède l’unique carte qui leur permettra d’atteindre leur destination secrète, ils se lancent dans une odyssée à travers le monde.",False
728949,Nightbitch,Nightbitch,2024,2024-12-06,5.764,335,3.0391,en,"Après la naissance de son fils, une ancienne artiste reste chez elle et commence à développer la peur de se transformer en chien.",False
541305,Kajillionaire,Kajillionaire,2020,2020-09-25,6.28,522,2.9863,en,"Theresa et Robert ont passé 26 ans à former leur fille unique, Old Dolio, à escroquer, arnaquer et voler à chaque occasion. Au cours d'un cambriolage conçu à la hâte, ils proposent à une jolie inconnue ingénue, Mélanie, de les rejoindre, bouleversant complètement la routine d'Old Dolio.",False
342737,20th Century Women,20th Century Women,2016,2016-12-28,7.3,1218,2.7942,en,"Santa Barbara, été 1979. L’époque est marquée par la contestation et d’importants changements culturels. Dorothea Fields, la cinquantaine, élève seule son fils Jamie. Elle décide de faire appel à deux jeunes femmes pour que le garçon, aujourd’hui adolescent, s’ouvre à d’autres regards sur le monde : Abbie, artiste punk à l’esprit frondeur qui habite chez Dorothea, et sa voisine Julie, 17 ans, aussi futée qu’insoumise…",False
295699,Everybody Wants Some!!,Everybody Wants Some!!,2016,2016-03-30,6.382,1186,2.493,en,Suivez les péripéties d’un groupe d’amis qui découvre les libertés et les responsabilités de l’âge adulte. Et soyez prêts à passer le meilleur week-end de votre vie.,False
405177,Bernadette a disparu,"Where'd You Go, Bernadette",2019,2019-08-16,6.584,714,2.4683,en,"Plutôt misanthrope, Bernadette Fox a pour seuls amis sa fille Bee, brillante ado de 15 ans, et … son assistant virtuel sur Internet. Tandis qu’elle tente encore de rénover sa maison délabrée – et de se convaincre qu’elle aime Seattle –, elle a renoncé à se faire accepter par les autres parents d’élèves du lycée huppé de sa fille. Jusqu’au jour où elle disparaît. Bee ira jusqu’au bout du monde pour la retrouver et découvrira alors son histoire…",False
1227877,I Love Boosters,I Love Boosters,2026,2026-05-22,0.0,0,2.4576,en,,False
950028,The Invite,The Invite,2026,2026-10-15,0.0,0,1.9319,en,,False
505423,Wounds,Wounds,2019,2019-01-26,4.017,847,1.8567,en,"Dans un bar de la Nouvelle-Orléans, un étudiant oublie son portable. Will, le barman, empoche le téléphone. À la nuit tombée, des SMS évoquant un tunnel et un livre maudit s'affichent. Au petit matin, des photos de dents ensanglantées apparaissent…",False
682459,The Silent Patient,The Silent Patient,,,0.0,0,1.7127,en,,False
326094,Le Teckel,Wiener-Dog,2016,2016-06-24,5.6,230,1.6466,en,Le portrait d’un teckel et de tous ceux auxquels il apportera un bref instant de bonheur.,False
777411,Paysage à la main invisible,Landscape with Invisible Hand,2023,2023-08-18,5.857,105,1.4885,en,"Lorsque les règles bureaucratiques et la technologie avancée d'une espèce extraterrestre occupante laissent la majeure partie de la Terre appauvrie et sans emploi, deux adolescents élaborent un plan pour assurer l'avenir de leur famille.",False
1294395,Second Nature: Gender and Sexuality in the Animal World,Second Nature: Gender and Sexuality in the Animal World,2024,2024-06-23,0.0,0,1.2459,en,,False
68174,Waking Madison,Waking Madison,2011,2011-05-02,5.45,40,1.0945,en,,False
1558172,Untitled Animated Moomin Movie,Untitled Animated Moomin Movie,,,0.0,0,1.0175,en,,False
1212971,The Age of Love,The Age of Love,,,0.0,0,1.0157,en,,False
308329,Last Days,Last Days,2014,2014-12-07,7.6,10,0.6925,en,,False
590005,Not Fade Away,Not Fade Away,,,0.0,0,0.5155,en,"Une jeune femme, née avec une maladie génétique rare qui lui fait perdre la vue et l'ouïe au fil du temps, va surprendre et réfuter les pronostics des médecins quant à l'évolution de sa maladie.",False
1136538,I Am Sybil,I Am Sybil,,,0.0,0,0.4382,en,,False
1602349,For the Hungry Boy,For the Hungry Boy,2018,2018-04-10,0.0,0,0.3718,en,,False
1174349,Stray,Stray,,,0.0,0,0.305,en,,False
572486,A Christmas Carol,A Christmas Carol,,,0.0,0,0.2489,en,,False
500516,A House in the Sky,A House in the Sky,,,0.0,0,0.2411,en,,False
441674,Untitled Richard Linklater John Brinkley Project,Untitled Richard Linklater John Brinkley Project,,,0.0,0,0.2404,en,,False
552121,Bad Behavior,Bad Behavior,,,0.0,0,0.1628,en,,False
516505,Still Here,Still Here,2018,2018-04-02,0.0,0,0.1497,en,,False
1273384,Untitled Nick Bruno Film,Untitled Nick Bruno Film,,,0.0,0,0.0565,en,,False
id,titre,titre_original,annee,date_sortie,note,nombre_votes,popularite,langue_originale,synopsis,adulte
1124566,Valeur sentimentale,Affeksjonsverdi,2025,2025-08-20,7.61,523,15.219,no,"Agnes et Nora voient leur père débarquer après de longues années d’absence. Réalisateur de renom, il propose à Nora, comédienne de théâtre, de jouer dans son prochain film, mais celle-ci refuse avec défiance. Il propose alors le rôle à une jeune star hollywoodienne, ravivant des souvenirs de famille douloureux.",False
249397,Nymphomaniac : Volume 2,Nymphomaniac: Vol. II,2013,2013-12-25,6.7,3082,9.9832,en,"La folle et poétique histoire du parcours érotique d'une femme, de sa naissance jusqu'à l'âge de 50 ans, racontée par le personnage principal, Joe, qui s'est autodiagnostiquée nymphomane. Par une froide soirée d’hiver, le vieux et charmant célibataire Seligman découvre Joe dans une ruelle, rouée de coups. Après l'avoir ramenée chez lui, il soigne ses blessures et l’interroge sur sa vie. Seligman écoute intensément Joe lui raconter en huit chapitres successifs le récit de sa vie aux multiples ramifications et facettes, riche en associations et en incidents de parcours.",False
980026,King's Land,Bastarden,2023,2023-10-05,7.7,532,8.2319,da,"Au Danemark, en 1755, le capitaine Ludvig Kahlen part à la conquête d'une lande danoise réputée incultivable avec un objectif impossible : établir une colonie au nom du roi, en échange d'un titre royal qui le sortirait de la misère. Une ambition bornée que l'impitoyable seigneur de la région cherchera sans relâche à étouffer. Le destin de Kahlen est alors en jeu : son entreprise lui apportera la richesse et l'honneur, ou lui coûtera la vie.",False
103663,La Chasse,Jagten,2012,2012-10-25,8.096,4605,7.2434,da,"Après un divorce difficile, Lucas, quarante ans, a trouvé une nouvelle petite amie, un nouveau travail et il s’applique à reconstruire sa relation avec Marcus, son fils adolescent. Mais quelque chose tourne mal. Presque rien. Une remarque en passant. Un mensonge fortuit. Et alors que la neige commence à tomber et que les lumières de Noël s’illuminent, le mensonge se répand comme un virus invisible. La stupeur et la méfiance se propagent et la petite communauté plonge dans l’hystérie collective, obligeant Lucas à se battre pour sauver sa vie et sa dignité.",False
1951,Manderlay,Manderlay,2005,2005-06-03,6.9,385,6.3948,da,"C'est l'étrange histoire de Manderlay, un domaine isolé dans le sud profond des États Unis. En 1933, Grace et son père avaient laissé derrière eux la petite communauté de Dogville et s'en éloignaient pour retourner chez eux.",False
1295400,The Last Viking,Den sidste viking,2025,2025-10-09,7.1,68,5.6987,da,"Afin de récupérer son butin, un braqueur de banque doit aider son frère à surmonter ses traumatismes d'enfance.",False
88844,Code Blue,Code Blue,2011,2011-09-29,4.714,28,5.3772,nl,,False
17609,Antichrist,Antichrist,2009,2009-05-20,6.622,2769,4.9923,en,"Un couple en deuil se retire à Eden, un chalet isolé dans la forêt, où ils espèrent guérir leurs cœurs et sauver leur mariage. Mais la nature reprend ses droits et les choses vont de mal en pis…",False
33974,Love Away,Mammoth,2009,2009-01-19,6.1,119,4.98,en,"Leo et Ellen forment un couple heureux dans leur luxueux appartement new-yorkais, entouré de Jackie, leur fillette de 8 ans, et Gloria, leur gouvernante philippine. Leo a fondé avec succès une entreprise Internet et mène une vie trépidante lui amenant des décisions importantes à prendre, mais aussi argent et gloire. Ellen est chirurgienne et a pour but personnel de sauver la vie d'un maximum de personnes. La fillette passe la majeure partie de son temps avec la gouvernante et cette situation ne satisfait plus Ellen. Leo quant à lui prend conscience, lors d'un voyage d'affaire, que sa vie doit changer. Cette décision aura de lourdes conséquences pour l'avenir de la famille.",False
1168560,Mr. Freeman,Mr. Freeman,2023,2023-10-07,5.4,5,4.5914,da,,False
62215,Melancholia,Melancholia,2011,2011-05-26,7.16,3736,4.591,en,"À l'occasion de leur mariage, Justine et Michael donnent une somptueuse réception dans la maison de la sœur de Justine et de son beau-frère. Pendant ce temps, la planète Melancholia se dirige vers la Terre…",False
138419,Viceværten,Viceværten,2012,2012-03-25,4.7,23,4.5553,da,Un concierge d'un complexe de logements découvre qu'une femme nue et muette qu'il a trouvée dans l'un de ses appartements possède des pouvoirs de guérison miraculeux.,False
580175,Drunk,Druk,2020,2020-09-24,7.633,3657,4.4198,da,"Quatre amis décident de mettre en pratique la théorie d’un psychologue norvégien selon laquelle l’homme aurait dès la naissance un déficit d’alcool dans le sang. Avec une rigueur scientifique, chacun relève le défi en espérant tous que leur vie n’en sera que meilleure! Si dans un premier temps les résultats sont encourageants, la situation devient rapidement hors de contrôle.",False
398173,The House That Jack Built,The House That Jack Built,2018,2018-10-04,7.129,2974,4.3051,en,"États-Unis, années 70. Nous suivons le très brillant Jack à travers cinq incidents et découvrons les meurtres qui vont marquer son parcours de tueur en série. L’histoire est vécue du point de vue de Jack. Il considère chaque meurtre comme une œuvre d’art en soi. Alors que l’ultime et inévitable intervention de la police ne cesse de se rapprocher (ce qui exaspère Jack et lui met la pression) il décide — contrairement à toute logique — de prendre de plus en plus de risques. Tout au long du film, nous découvrons les descriptions de Jack sur sa situation personnelle, ses problèmes et ses pensées à travers sa conversation avec un inconnu, Verge. Un mélange grotesque de sophismes, d’apitoiement presque enfantin sur soi et d'explications détaillées sur les manœuvres dangereuses et difficiles de Jack.",False
16,Dancer in the Dark,Dancer in the Dark,2000,2000-09-01,7.86,1941,4.0585,en,"Selma Jezkova, émigrée tchèque et mère célibataire, travaille dans une usine de l'Amérique profonde. Elle trouve son salut dans sa passion pour la musique, spécialement les chansons et les danses des grandes comédies musicales hollywoodiennes. Selma garde un lourd secret : elle perd la vue et son fils Gene connaîtra le même sort sauf si elle réussit à mettre assez d'argent de côté pour lui payer une opération. Quand un voisin aux abois accuse à tort Selma d'avoir volé ses économies, le drame de sa vie s'intensifie pour se terminer en final tragique.
 Palme d'Or 2000",False
36800,Metropia,Metropia,2009,2009-10-21,6.1,187,3.9716,en,"Dans une banlieue de Stockholm, dans un futur proche. Les souterrains européens sont reliés par un gigantesque métro. Roger évite de prendre le métro. il a l'impression que ses faits et gestes sont contrôlés, entend dans sa tête la voix d'un étranger... Pensant être victime d'une machination, il demande de l'aide à une jeune mannequin, Nina.",False
553,Dogville,Dogville,2003,2003-05-21,7.758,2619,3.9035,en,"Dans les années trente, des coups de feu retentissent un soir dans Dogville, une petite ville des Rocheuses. Grace, une belle femme terrifiée, monte en courant un chemin de montagne où elle fait la rencontre de Tom, un jeune habitant de la bourgade. Elle lui explique qu'elle est traquée par des gangsters et que sa vie est en danger. Encouragée par Tom, la population locale consent à la cacher, en échange de quoi Grace accepte de travailler pour elle. Lorsqu'un avis de recherche est lancé contre la jeune femme, les habitants de Dogville s'estiment en droit d'exiger une compensation, vu le risque qu'ils courent à l'abriter. Mais la pauvre Grace garde en elle un secret fatal qui leur fera regretter leur geste…",False
201447,Mirakel,Mirakel,2000,2000-10-13,6.2,17,3.8043,da,,False
53554,Hundhotellet,Hundhotellet,2000,2000-10-03,7.1,7,3.7936,sv,,False
622968,Harpiks,Harpiks,2019,2019-12-12,5.2,6,3.7172,da,,False
663870,Riders of Justice,Retfærdighedens ryttere,2020,2020-11-19,7.3,1014,3.6324,da,"Markus est un militaire déployé qui rentre chez lui, au Danemark, après le décès de sa femme, survenu dans un accident de train. Il doit s'occuper de sa fille adolescente, Mathilde. Bientôt, Markus découvre que le déraillement ferroviaire, qui a coûté la vie de sa femme, n'est peut-être pas un malheureux accident...",False
412099,Ødeland,Ødeland,2015,2015-03-27,8.0,4,3.5787,da,,False
77471,Frit fald,Frit fald,2011,2011-04-28,4.375,12,3.4286,da,,False
211284,Dimension,Dimension,2010,2010-08-24,5.3,9,3.3896,en,,False
33294,In your hands,Forbrydelser,2004,2004-01-23,5.676,17,3.3592,da,"Anna, théologienne, est mariée à Franck. Ils essaient depuis plusieurs années d'avoir un enfant, mais en vain. Un jour, Anna accepte un poste de remplaçante à l'aumônerie d'une prison de femmes où elle est confrontée à Kate, une détenue qui semble posséder des dons surnaturels. Cette rencontre va bouleverser sa vie.",False
266285,The salvation,The Salvation,2014,2014-05-22,6.461,918,3.315,da,"1870, Amérique. Lorsque John tue le meurtrier de sa famille, il déclenche la fureur du chef de gang, Delarue. Trahi par sa communauté, lâche et corrompue, le paisible pionnier doit alors traquer seul les hors-la-loi.",False
1290424,L'Inconnu de la Grande Arche,L'Inconnu de la Grande Arche,2025,2025-11-05,7.3,60,3.2712,fr,"1983, François Mitterrand décide de lancer un concours d'architecture international pour le projet phare de sa présidence : la Grande Arche de la Défense, dans l'axe du Louvre et de l'Arc de Triomphe ! À la surprise générale, Otto von Spreckelsen, architecte danois, remporte le concours. Du jour au lendemain, cet homme de 53 ans, inconnu en France, débarque à Paris où il est propulsé à la tête de ce chantier pharaonique. Et si l'architecte entend bâtir la Grande Arche telle qu’il l’a imaginée, ses idées vont très vite se heurter à la complexité du réel et aux aléas de la politique.",False
21289,Zafir,Zafir,2003,2003-01-01,3.2,4,3.1696,da,,False
10989,101 Reykjavík,101 Reykjavík,2000,2000-05-31,6.153,124,3.0955,is,"Hlynur Björn, un RMiste d'une trentaine d'années, continue à prendre la vie comme elle vient, refusant toute forme de contrainte et d'engagement. Il habite encore chez sa mère, fière d'avoir su garder son fils à ses côtés. Les femmes savent que Hlynur est beau garçon. Quand le jeune homme va faire un tour dans les bars branchés du quartier 101 de Reykjavik, il est rare qu'il rentre seul. Mais ses nombreuses conquêtes n'apprennent rien à Hlynur, qui continue à considérer la gente féminine comme une espèce d'extraterrestre. Jusqu'au jour où le séducteur tombe amoureux d'une amie de sa mère, une pétillante Espagnole qui répond au doux nom de Lola. Cette dernière est d'autant plus désirable qu'elle préfère les femmes.",False
708514,Tyran,Tyran,2015,2015-05-04,0.0,0,3.0354,da,,False
272873,Menneskedyret,Menneskedyret,1995,1995-09-01,5.0,6,3.0289,da,,False
15839,Un juge sous tension,Dommeren,2005,2005-11-04,6.5,4,3.003,da,"Contre l'avis de plusieurs de ses collègues, le juge Jens Chistian Poulsen, président du Comité danois pour les réfugiés, refuse d'accorder l'asile à un Géorgien qui, selon certaines sources, aurait un passé criminel. Lorsque l'homme tente de s'immoler par le feu, la presse s'empare de l'affaire et le juge se retrouve au coeur d'un scandale politique, impliquant une ministre des Affaires étrangères aux méthodes troubles. Dans ce moment de crise, Christian, célibataire endurci, voit débarquer un fils qu'il n'a pas vu depuis sa naissance. Le jeune Anders, 16 ans, qui vient de vivre un drame, souhaite connaître son père biologique. De plus en plus sous pression, le juge laisse à contrecœur le garçon entrer dans sa vie...",False
17985,Bleeder,Bleeder,1999,1999-08-06,6.686,199,2.977,da,"Leo et Louise, un jeune couple à Copenhague. Leo sort très souvent avec ses amis, mais Louise préfère rester à la maison. Lorsqu'elle lui apprend qu'elle est enceinte, Leo devient distant et très violent.",False
196024,Les Enquêtes du Département V : Miséricorde,Kvinden i buret,2013,2013-10-03,7.054,806,2.8678,da,"Après une bavure qui coûte la vie à l’un de ses collègues et laisse son meilleur ami paralysé, l’inspecteur Carl Mørck a presque tout perdu. Mis sur la touche, privé du droit d’enquêter, il est chargé d’archiver les vieux dossiers du commissariat avec Assad, l’assistant d’origine syrienne qui lui est imposé. Mais très vite, les deux policiers désobéissent à leur supérieur et rouvrent une enquête jamais résolue, la disparition mystérieuse d’une jeune politicienne prometteuse survenue cinq ans auparavant. C’est la naissance du Département V et sa première enquête…",False
15824,Inheritance,Arven,2003,2003-02-21,6.39,41,2.8404,da,"Christoffer est l'heureux propriétaire d'un restaurant à Stockholm mais voit sa vie bouleversée lorsque son père meurt et que sa mère lui demande de reprendre l'affaire familiale, une grande entreprise nommée Borch Moller.",False
35297,Daisy Diamond,Daisy Diamond,2007,2007-11-23,5.611,54,2.7859,da,"L'histoire tragique d'Anna qui ne rêve que d'une chose : devenir actrice. Elle quitte la Suède pour Copenhague afin de poursuivre son rêve. Mais le destin lui réserve un autre sort. Bien qu'elle se batte pour donner à sa fille de 4 mois un bon départ dans la vie, elle ne parvient pas à concilier son rêve de devenir actrice avec un environnement sûr et aimant pour son enfant, ce qui l'amène à commettre un acte désespéré qui a des conséquences fatales pour Anna et sa fille.",False
51999,Perfect Sense,Perfect Sense,2011,2011-09-29,6.859,1217,2.7268,en,"Au milieu d'un monde frappé par une étrange épidémie qui détruit progressivement les cinq sens, un cuisinier et une brillante chercheuse tombent amoureux...",False
